G_Spacing [mm],Freq [GHz],"dB(St(Microstrip_T2,Microstrip_T1)) []",
0.7,0,-0.004540286,0.004540286
0.7,0.125,-0.009890201,0.009890201
0.7,0.25,-0.01554964,0.01554964
0.7,0.375,-0.020046737,0.020046737
0.7,0.5,-0.023458737,0.023458737
0.7,0.625,-0.026319956,0.026319956
0.7,0.75,-0.028930266,0.028930266
0.7,0.875,-0.031419734,0.031419734
0.7,1,-0.033836996,0.033836996
0.7,1.125,-0.036196378,0.036196378
0.7,1.25,-0.038499764,0.038499764
0.7,1.375,-0.040746074,0.040746074
0.7,1.5,-0.042934907,0.042934907
0.7,1.625,-0.045067557,0.045067557
0.7,1.75,-0.047146926,0.047146926
0.7,1.875,-0.049177056,0.049177056
0.7,2,-0.051162614,0.051162614
0.7,2.125,-0.053108457,0.053108457
0.7,2.25,-0.055019306,0.055019306
0.7,2.375,-0.056899538,0.056899538
0.7,2.5,-0.058753063,0.058753063
0.7,2.625,-0.060583267,0.060583267
0.7,2.75,-0.06239301,0.06239301
0.7,2.875,-0.064184656,0.064184656
0.7,3,-0.065960114,0.065960114
0.7,3.125,-0.067720908,0.067720908
0.7,3.25,-0.069468238,0.069468238
0.7,3.375,-0.071203058,0.071203058
0.7,3.5,-0.072926143,0.072926143
0.7,3.625,-0.074638169,0.074638169
0.7,3.75,-0.076339784,0.076339784
0.7,3.875,-0.078031685,0.078031685
0.7,4,-0.079714698,0.079714698
0.7,4.125,-0.081389862,0.081389862
0.7,4.25,-0.083058518,0.083058518
0.7,4.375,-0.084722408,0.084722408
0.7,4.5,-0.08638379,0.08638379
0.7,4.625,-0.08804556,0.08804556
0.7,4.75,-0.089711393,0.089711393
0.7,4.875,-0.091385895,0.091385895
0.7,5,-0.093074756,0.093074756
0.7,5.125,-0.094784878,0.094784878
0.7,5.25,-0.096524434,0.096524434
0.7,5.375,-0.09830276,0.09830276
0.7,5.5,-0.100129911,0.100129911
0.7,5.625,-0.102015635,0.102015635
0.7,5.75,-0.10396739,0.10396739
0.7,5.875,-0.105987019,0.105987019
0.7,6,-0.108065925,0.108065925
0.7,6.125,-0.110179411,0.110179411
0.7,6.25,-0.112282414,0.112282414
0.7,6.375,-0.114310609,0.114310609
0.7,6.5,-0.116190768,0.116190768
0.7,6.625,-0.117859819,0.117859819
0.7,6.75,-0.119284865,0.119284865
0.7,6.875,-0.120472979,0.120472979
0.7,7,-0.121465445,0.121465445
0.7,7.125,-0.122321293,0.122321293
0.7,7.25,-0.123100065,0.123100065
0.7,7.375,-0.123850731,0.123850731
0.7,7.5,-0.124607893,0.124607893
0.7,7.625,-0.125392857,0.125392857
0.7,7.75,-0.126216732,0.126216732
0.7,7.875,-0.127083705,0.127083705
0.7,8,-0.127993676,0.127993676
0.7,8.125,-0.128944136,0.128944136
0.7,8.25,-0.129931364,0.129931364
0.7,8.375,-0.130951167,0.130951167
0.7,8.5,-0.131999289,0.131999289
0.7,8.625,-0.133071644,0.133071644
0.7,8.75,-0.134164427,0.134164427
0.7,8.875,-0.135274163,0.135274163
0.7,9,-0.136397731,0.136397731
0.7,9.125,-0.137532372,0.137532372
0.7,9.25,-0.138675696,0.138675696
0.7,9.375,-0.139825692,0.139825692
0.7,9.5,-0.140980744,0.140980744
0.7,9.625,-0.142139654,0.142139654
0.7,9.75,-0.143301673,0.143301673
0.7,9.875,-0.144466536,0.144466536
0.7,10,-0.145634506,0.145634506
0.7,10.125,-0.146853107,0.146853107
0.7,10.25,-0.148072129,0.148072129
0.7,10.375,-0.149293499,0.149293499
0.7,10.5,-0.150519138,0.150519138
0.7,10.625,-0.151750942,0.151750942
0.7,10.75,-0.152990754,0.152990754
0.7,10.875,-0.154240351,0.154240351
0.7,11,-0.155501413,0.155501413
0.7,11.125,-0.156775509,0.156775509
0.7,11.25,-0.158064073,0.158064073
0.7,11.375,-0.159368387,0.159368387
0.7,11.5,-0.160689561,0.160689561
0.7,11.625,-0.162028521,0.162028521
0.7,11.75,-0.163385992,0.163385992
0.7,11.875,-0.16476249,0.16476249
0.7,12,-0.166158311,0.166158311
0.7,12.125,-0.167573524,0.167573524
0.7,12.25,-0.169007969,0.169007969
0.7,12.375,-0.170461248,0.170461248
0.7,12.5,-0.171932735,0.171932735
0.7,12.625,-0.173421567,0.173421567
0.7,12.75,-0.174926654,0.174926654
0.7,12.875,-0.176446686,0.176446686
0.7,13,-0.177980133,0.177980133
0.7,13.125,-0.179525262,0.179525262
0.7,13.25,-0.181080144,0.181080144
0.7,13.375,-0.182642669,0.182642669
0.7,13.5,-0.184210559,0.184210559
0.7,13.625,-0.185781385,0.185781385
0.7,13.75,-0.187352586,0.187352586
0.7,13.875,-0.188921491,0.188921491
0.7,14,-0.190485334,0.190485334
0.7,14.125,-0.192041284,0.192041284
0.7,14.25,-0.193586471,0.193586471
0.7,14.375,-0.195118004,0.195118004
0.7,14.5,-0.19663301,0.19663301
0.7,14.625,-0.198128655,0.198128655
0.7,14.75,-0.19960218,0.19960218
0.7,14.875,-0.201050927,0.201050927
0.7,15,-0.202472378,0.202472378
0.7,15.125,-0.203864179,0.203864179
0.7,15.25,-0.205224177,0.205224177
0.7,15.375,-0.206550451,0.206550451
0.7,15.5,-0.207841337,0.207841337
0.7,15.625,-0.209095464,0.209095464
0.7,15.75,-0.210311773,0.210311773
0.7,15.875,-0.211489542,0.211489542
0.7,16,-0.212628408,0.212628408
0.7,16.125,-0.213728381,0.213728381
0.7,16.25,-0.214789853,0.214789853
0.7,16.375,-0.215813608,0.215813608
0.7,16.5,-0.216800817,0.216800817
0.7,16.625,-0.217753037,0.217753037
0.7,16.75,-0.218672197,0.218672197
0.7,16.875,-0.219560575,0.219560575
0.7,17,-0.220420778,0.220420778
0.7,17.125,-0.221255706,0.221255706
0.7,17.25,-0.222068512,0.222068512
0.7,17.375,-0.222862553,0.222862553
0.7,17.5,-0.223641342,0.223641342
0.7,17.625,-0.224408485,0.224408485
0.7,17.75,-0.225167617,0.225167617
0.7,17.875,-0.225922332,0.225922332
0.7,18,-0.226676115,0.226676115
0.7,18.125,-0.227432266,0.227432266
0.7,18.25,-0.22819383,0.22819383
0.7,18.375,-0.22896353,0.22896353
0.7,18.5,-0.229743715,0.229743715
0.7,18.625,-0.230536312,0.230536312
0.7,18.75,-0.231342809,0.231342809
0.7,18.875,-0.232164267,0.232164267
0.7,19,-0.233001359,0.233001359
0.7,19.125,-0.233854461,0.233854461
0.7,19.25,-0.234723778,0.234723778
0.7,19.375,-0.235609519,0.235609519
0.7,19.5,-0.236512085,0.236512085
0.7,19.625,-0.237432269,0.237432269
0.7,19.75,-0.238371425,0.238371425
0.7,19.875,-0.239331561,0.239331561
0.7,20,-0.240315343,0.240315343
0.7,20.125,-0.241325975,0.241325975
0.7,20.25,-0.242366963,0.242366963
0.7,20.375,-0.243441796,0.243441796
0.7,20.5,-0.244553588,0.244553588
0.7,20.625,-0.245704748,0.245704748
0.7,20.75,-0.246896709,0.246896709
0.7,20.875,-0.24812978,0.24812978
0.7,21,-0.249403095,0.249403095
0.7,21.125,-0.250714679,0.250714679
0.7,21.25,-0.252061585,0.252061585
0.7,21.375,-0.253440075,0.253440075
0.7,21.5,-0.254845826,0.254845826
0.7,21.625,-0.256274121,0.256274121
0.7,21.75,-0.257720029,0.257720029
0.7,21.875,-0.259178552,0.259178552
0.7,22,-0.260644744,0.260644744
0.7,22.125,-0.262113803,0.262113803
0.7,22.25,-0.263581141,0.263581141
0.7,22.375,-0.265042429,0.265042429
0.7,22.5,-0.266493632,0.266493632
0.7,22.625,-0.267931031,0.267931031
0.7,22.75,-0.269351233,0.269351233
0.7,22.875,-0.27075118,0.27075118
0.7,23,-0.272128147,0.272128147
0.7,23.125,-0.273479745,0.273479745
0.7,23.25,-0.274803912,0.274803912
0.7,23.375,-0.276098909,0.276098909
0.7,23.5,-0.277363311,0.277363311
0.7,23.625,-0.278595999,0.278595999
0.7,23.75,-0.27979615,0.27979615
0.7,23.875,-0.280963224,0.280963224
0.7,24,-0.282096952,0.282096952
0.7,24.125,-0.283197328,0.283197328
0.7,24.25,-0.284264588,0.284264588
0.7,24.375,-0.285299203,0.285299203
0.7,24.5,-0.28630186,0.28630186
0.7,24.625,-0.287273451,0.287273451
0.7,24.75,-0.288215054,0.288215054
0.7,24.875,-0.289127921,0.289127921
0.7,25,-0.290013463,0.290013463
0.7,25.125,-0.290873233,0.290873233
0.7,25.25,-0.291708915,0.291708915
0.7,25.375,-0.292522305,0.292522305
0.7,25.5,-0.293315303,0.293315303
0.7,25.625,-0.294089897,0.294089897
0.7,25.75,-0.294848149,0.294848149
0.7,25.875,-0.295592186,0.295592186
0.7,26,-0.29632419,0.29632419
0.7,26.125,-0.297046381,0.297046381
0.7,26.25,-0.297761016,0.297761016
0.7,26.375,-0.298470371,0.298470371
0.7,26.5,-0.299176738,0.299176738
0.7,26.625,-0.299882409,0.299882409
0.7,26.75,-0.300589676,0.300589676
0.7,26.875,-0.301300814,0.301300814
0.7,27,-0.302018075,0.302018075
0.7,27.125,-0.30274368,0.30274368
0.7,27.25,-0.303479806,0.303479806
0.7,27.375,-0.304228578,0.304228578
0.7,27.5,-0.304992061,0.304992061
0.7,27.625,-0.305772244,0.305772244
0.7,27.75,-0.306571034,0.306571034
0.7,27.875,-0.307390243,0.307390243
0.7,28,-0.308231578,0.308231578
0.7,28.125,-0.309096631,0.309096631
0.7,28.25,-0.309986865,0.309986865
0.7,28.375,-0.310903609,0.310903609
0.7,28.5,-0.311848044,0.311848044
0.7,28.625,-0.312821198,0.312821198
0.7,28.75,-0.313823936,0.313823936
0.7,28.875,-0.314856954,0.314856954
0.7,29,-0.315920774,0.315920774
0.7,29.125,-0.317015736,0.317015736
0.7,29.25,-0.318142002,0.318142002
0.7,29.375,-0.319299546,0.319299546
0.7,29.5,-0.320488159,0.320488159
0.7,29.625,-0.321707448,0.321707448
0.7,29.75,-0.322956839,0.322956839
0.7,29.875,-0.324235578,0.324235578
0.7,30,-0.325542738,0.325542738
0.7,30.125,-0.326877224,0.326877224
0.7,30.25,-0.328237779,0.328237779
0.7,30.375,-0.329622992,0.329622992
0.7,30.5,-0.331031307,0.331031307
0.7,30.625,-0.332461032,0.332461032
0.7,30.75,-0.333910349,0.333910349
0.7,30.875,-0.33537732,0.33537732
0.7,31,-0.336859907,0.336859907
0.7,31.125,-0.338355971,0.338355971
0.7,31.25,-0.339863294,0.339863294
0.7,31.375,-0.341379581,0.341379581
0.7,31.5,-0.342902477,0.342902477
0.7,31.625,-0.344429576,0.344429576
0.7,31.75,-0.345958432,0.345958432
0.7,31.875,-0.347486568,0.347486568
0.7,32,-0.34901149,0.34901149
0.7,32.125,-0.350530694,0.350530694
0.7,32.25,-0.352041681,0.352041681
0.7,32.375,-0.353541961,0.353541961
0.7,32.5,-0.355029068,0.355029068
0.7,32.625,-0.356500569,0.356500569
0.7,32.75,-0.357954074,0.357954074
0.7,32.875,-0.359387247,0.359387247
0.7,33,-0.360797815,0.360797815
0.7,33.125,-0.362183582,0.362183582
0.7,33.25,-0.363542434,0.363542434
0.7,33.375,-0.364872357,0.364872357
0.7,33.5,-0.366171442,0.366171442
0.7,33.625,-0.367437897,0.367437897
0.7,33.75,-0.368670061,0.368670061
0.7,33.875,-0.369866409,0.369866409
0.7,34,-0.371025565,0.371025565
0.7,34.125,-0.372146312,0.372146312
0.7,34.25,-0.373227598,0.373227598
0.7,34.375,-0.374268546,0.374268546
0.7,34.5,-0.37526846,0.37526846
0.7,34.625,-0.376226832,0.376226832
0.7,34.75,-0.377143347,0.377143347
0.7,34.875,-0.37801789,0.37801789
0.7,35,-0.378850541,0.378850541
0.7,35.125,-0.37964159,0.37964159
0.7,35.25,-0.380391525,0.380391525
0.7,35.375,-0.381101043,0.381101043
0.7,35.5,-0.38177104,0.38177104
0.7,35.625,-0.382402617,0.382402617
0.7,35.75,-0.382997071,0.382997071
0.7,35.875,-0.383555891,0.383555891
0.7,36,-0.384080758,0.384080758
0.7,36.125,-0.38457353,0.38457353
0.7,36.25,-0.385036245,0.385036245
0.7,36.375,-0.385471104,0.385471104
0.7,36.5,-0.385880465,0.385880465
0.7,36.625,-0.386266835,0.386266835
0.7,36.75,-0.386632858,0.386632858
0.7,36.875,-0.386981302,0.386981302
0.7,37,-0.387315051,0.387315051
0.7,37.125,-0.387637093,0.387637093
0.7,37.25,-0.387950505,0.387950505
0.7,37.375,-0.388258447,0.388258447
0.7,37.5,-0.388564144,0.388564144
0.7,37.625,-0.388870879,0.388870879
0.7,37.75,-0.389181983,0.389181983
0.7,37.875,-0.389500819,0.389500819
0.7,38,-0.389830783,0.389830783
0.7,38.125,-0.390175284,0.390175284
0.7,38.25,-0.390537747,0.390537747
0.7,38.375,-0.3909216,0.3909216
0.7,38.5,-0.391330276,0.391330276
0.7,38.625,-0.391767203,0.391767203
0.7,38.75,-0.392235812,0.392235812
0.7,38.875,-0.392739532,0.392739532
0.7,39,-0.393281801,0.393281801
0.7,39.125,-0.393866069,0.393866069
0.7,39.25,-0.394495811,0.394495811
0.7,39.375,-0.395174544,0.395174544
0.7,39.5,-0.395905849,0.395905849
0.7,39.625,-0.396693396,0.396693396
0.7,39.75,-0.397540977,0.397540977
0.7,39.875,-0.398452549,0.398452549
0.7,40,-0.399432285,0.399432285
0.7,40.125,-0.400484634,0.400484634
0.7,40.25,-0.401614395,0.401614395
0.7,40.375,-0.402826799,0.402826799
0.7,40.5,-0.404127613,0.404127613
0.7,40.625,-0.405523251,0.405523251
0.7,40.75,-0.407020893,0.407020893
0.7,40.875,-0.408628618,0.408628618
0.7,41,-0.410355519,0.410355519
0.7,41.125,-0.41221179,0.41221179
0.7,41.25,-0.41420873,0.41420873
0.7,41.375,-0.416358588,0.416358588
0.7,41.5,-0.418674112,0.418674112
0.7,41.625,-0.421167565,0.421167565
0.7,41.75,-0.423848838,0.423848838
0.7,41.875,-0.426722057,0.426722057
0.7,42,-0.429779795,0.429779795
0.7,42.125,-0.432993651,0.432993651
0.7,42.25,-0.436299791,0.436299791
0.7,42.375,-0.439579264,0.439579264
0.7,42.5,-0.442640552,0.442640552
0.7,42.625,-0.445231274,0.445231274
0.7,42.75,-0.447094766,0.447094766
0.7,42.875,-0.448018813,0.448018813
0.7,43,-0.447886762,0.447886762
0.7,43.125,-0.44676241,0.44676241
0.7,43.25,-0.444911176,0.444911176
0.7,43.375,-0.442714447,0.442714447
0.7,43.5,-0.440541761,0.440541761
0.7,43.625,-0.43866056,0.43866056
0.7,43.75,-0.43721249,0.43721249
0.7,43.875,-0.43623663,0.43623663
0.7,44,-0.435707738,0.435707738
0.7,44.125,-0.435569381,0.435569381
0.7,44.25,-0.435755755,0.435755755
0.7,44.375,-0.436203517,0.436203517
0.7,44.5,-0.436856967,0.436856967
0.7,44.625,-0.437669484,0.437669484
0.7,44.75,-0.438603155,0.438603155
0.7,44.875,-0.439627679,0.439627679
0.7,45,-0.440719097,0.440719097
0.7,45.125,-0.441858606,0.441858606
0.7,45.25,-0.443031539,0.443031539
0.7,45.375,-0.444226521,0.444226521
0.7,45.5,-0.445434797,0.445434797
0.7,45.625,-0.446649689,0.446649689
0.7,45.75,-0.44786617,0.44786617
0.7,45.875,-0.449080526,0.449080526
0.7,46,-0.450290078,0.450290078
0.7,46.125,-0.451492962,0.451492962
0.7,46.25,-0.452687952,0.452687952
0.7,46.375,-0.453874312,0.453874312
0.7,46.5,-0.455051678,0.455051678
0.7,46.625,-0.456219974,0.456219974
0.7,46.75,-0.457379354,0.457379354
0.7,46.875,-0.458530182,0.458530182
0.7,47,-0.45967305,0.45967305
0.7,47.125,-0.460808841,0.460808841
0.7,47.25,-0.4619388,0.4619388
0.7,47.375,-0.463064634,0.463064634
0.7,47.5,-0.46418859,0.46418859
0.7,47.625,-0.465313516,0.465313516
0.7,47.75,-0.466442898,0.466442898
0.7,47.875,-0.467580876,0.467580876
0.7,48,-0.468732256,0.468732256
0.7,48.125,-0.469902523,0.469902523
0.7,48.25,-0.47109786,0.47109786
0.7,48.375,-0.472325185,0.472325185
0.7,48.5,-0.473592184,0.473592184
0.7,48.625,-0.474907358,0.474907358
0.7,48.75,-0.476280067,0.476280067
0.7,48.875,-0.477720569,0.477720569
0.7,49,-0.479240066,0.479240066
0.7,49.125,-0.480850741,0.480850741
0.7,49.25,-0.482565797,0.482565797
0.7,49.375,-0.484399501,0.484399501
0.7,49.5,-0.486367227,0.486367227
0.7,49.625,-0.488485492,0.488485492
0.7,49.75,-0.490772008,0.490772008
0.7,49.875,-0.493245716,0.493245716
0.7,50,-0.495926823,0.495926823
