"Freq [GHz]","dB(St(T1_2,T1_1)) []"
0,-0.00899536355114948
0.125,-0.0156722358988234
0.25,-0.0240637269079767
0.375,-0.0312966650085538
0.5,-0.0368633454003272
0.625,-0.0414208191029901
0.75,-0.0454593154236715
0.875,-0.0492310834136424
1,-0.0528492374710259
1.125,-0.056358337030795
1.25,-0.0597722811402063
1.375,-0.0630931030250779
1.5,-0.0663197638116913
1.625,-0.0694518738100569
1.75,-0.0724909179080629
1.875,-0.075440324869777
2,-0.0783050685579739
2.125,-0.0810911421439825
2.25,-0.0838050620095598
2.375,-0.086453462109175
2.5,-0.0890427919193378
2.625,-0.0915791095001963
2.75,-0.0940679532007564
2.875,-0.0965142742626627
3,-0.0989224142889744
3.125,-0.101296114302605
3.25,-0.103638544976026
3.375,-0.105952350158342
3.5,-0.108239697923332
3.625,-0.110502335010253
3.75,-0.112741641782994
3.875,-0.114958685763303
4,-0.117154272470574
4.125,-0.119328992783703
4.25,-0.121483266379995
4.375,-0.123617381040431
4.5,-0.125731527768472
4.625,-0.127825831774703
4.75,-0.129900379446429
4.875,-0.131955241463309
5,-0.133990492244659
5.125,-0.13600622592835
5.25,-0.138002569088498
5.375,-0.139979690403851
5.5,-0.141937807491035
5.625,-0.143877191120066
5.75,-0.145798167032114
5.875,-0.147701115583581
6,-0.149586469444641
6.125,-0.151454709584679
6.25,-0.153306359781345
6.375,-0.155141979893155
6.5,-0.156962158137867
6.625,-0.15876750262022
6.75,-0.160558632352158
6.875,-0.162336168007523
7,-0.164100722651348
7.125,-0.165852892680902
7.25,-0.167593249213168
7.375,-0.16932233015054
7.5,-0.171040633154161
7.625,-0.172748609751993
7.75,-0.174446660806919
7.875,-0.176135133568011
8,-0.177814320526237
8.125,-0.179484460293253
8.25,-0.181145740718706
8.375,-0.18279830445764
8.5,-0.184442257194098
8.625,-0.186077678721265
8.75,-0.187704637070453
8.875,-0.189323205872931
9,-0.190933485128631
9.125,-0.192535625544724
9.25,-0.194129856595585
9.375,-0.195716518442691
9.5,-0.197296097840064
9.625,-0.198869268136889
9.75,-0.200436933474331
9.875,-0.202000277258704
10,-0.203560814976202
10.125,-0.205094560990588
10.25,-0.206624942003153
10.375,-0.208151747462332
10.5,-0.209674782784786
10.625,-0.211193868444433
10.75,-0.21270883913272
10.875,-0.214219542991507
11,-0.215725840918952
11.125,-0.217227605947341
11.25,-0.21872472269108
11.375,-0.220217086861815
11.5,-0.221704604846793
11.625,-0.223187193345628
11.75,-0.224664779059993
11.875,-0.226137298430024
12,-0.227604697410607
12.125,-0.229066931280477
12.25,-0.230523964476572
12.375,-0.231975770446016
12.5,-0.233422331508127
12.625,-0.234863638718857
12.75,-0.236299691730346
12.875,-0.237730498638776
13,-0.23915607581398
13.125,-0.240576447705144
13.25,-0.241991646617366
13.375,-0.243401712454874
13.5,-0.244806692427457
13.625,-0.246206640717496
13.75,-0.247601618106075
13.875,-0.248991691557515
14,-0.250376933762514
14.125,-0.251757422641193
14.25,-0.253133240807987
14.375,-0.254504475001287
14.5,-0.255871215481299
14.625,-0.257233555400375
14.75,-0.258591590150528
14.875,-0.259945416693211
15,-0.261295132877043
15.125,-0.262640836749045
15.25,-0.263982625865369
15.375,-0.26532059660742
15.5,-0.266654843509321
15.625,-0.267985458602407
15.75,-0.269312530782375
15.875,-0.270636145204468
16,-0.271956382711639
16.125,-0.27327331930043
16.25,-0.27458702562892
16.375,-0.275897566570635
16.5,-0.277205000817853
16.625,-0.278509380537585
16.75,-0.279810751082675
16.875,-0.281109150760478
17,-0.282404610660798
17.125,-0.283697154544454
17.25,-0.284986798793745
17.375,-0.286273552425009
17.5,-0.287557417163783
17.625,-0.288838387582226
17.75,-0.290116451298134
17.875,-0.291391589234675
18,-0.292663775939234
18.125,-0.2939329799597
18.25,-0.295199164275811
18.375,-0.296462286782923
18.5,-0.297722300825102
18.625,-0.298979155773989
18.75,-0.300232797649406
18.875,-0.30148316977743
19,-0.302730213481042
19.125,-0.303973868798153
19.25,-0.305214075221412
19.375,-0.306450772453949
19.5,-0.307683901174786
19.625,-0.308913403807329
19.75,-0.310139225284453
19.875,-0.311361313803124
20,-0.312579621561769
20.125,-0.313794105473378
20.25,-0.315004727847589
20.375,-0.316211457034844
20.5,-0.317414268026253
20.625,-0.318613143002999
20.75,-0.319808071829298
20.875,-0.320999052483718
21,-0.32218609142401
21.125,-0.32336920388104
21.25,-0.324548414078498
21.375,-0.325723755375211
21.5,-0.326895270328148
21.625,-0.32806301067441
21.75,-0.329227037231902
21.875,-0.330387419718487
22,-0.331544236490867
22.125,-0.332697574204587
22.25,-0.333847527397827
22.375,-0.334994198001962
22.5,-0.336137694782658
22.625,-0.337278132716141
22.75,-0.338415632305338
22.875,-0.339550318841581
23,-0.340682321617766
23.125,-0.341811773099344
23.25,-0.342938808059703
23.375,-0.34406356268712
23.5,-0.3451861736702
23.625,-0.346306777269313
23.75,-0.347425508381355
23.875,-0.348542499605331
24,-0.349657880316219
24.125,-0.350771775754563
24.25,-0.35188430613903
24.375,-0.352995585809228
24.5,-0.354105722405641
24.625,-0.355214816093545
24.75,-0.356322958837358
24.875,-0.35743023373157
25,-0.358536714394162
25.125,-0.359642464427867
25.25,-0.360747536954323
25.375,-0.361851974225607
25.5,-0.362955807317158
25.625,-0.364059055905506
25.75,-0.365161728133605
25.875,-0.366263820565972
26,-0.367365318235094
26.125,-0.368466194779805
26.25,-0.369566412675711
26.375,-0.370665923556815
26.5,-0.371764668626712
26.625,-0.37286257915711
26.75,-0.373959577070266
26.875,-0.375055575601513
27,-0.37615048003689
27.125,-0.377244188520488
27.25,-0.378336592925156
27.375,-0.379427579779624
27.5,-0.380517031244513
27.625,-0.381604826129345
27.75,-0.382690840941628
27.875,-0.383774950959798
28,-0.384857031320273
28.125,-0.385936958109675
28.25,-0.387014609453064
28.375,-0.388089866588355
28.5,-0.389162614918481
28.625,-0.39023274503182
28.75,-0.391300153682791
28.875,-0.392364744724222
29,-0.393426429984039
29.125,-0.394485130079242
29.25,-0.395540775160511
29.375,-0.396593305581987
29.5,-0.397642672491137
29.625,-0.398688838334051
29.75,-0.399731777272816
29.875,-0.400771475512172
30,-0.40180793153294
30.125,-0.402841156231304
30.25,-0.403871172962199
30.375,-0.404898017488135
30.5,-0.405921737832523
30.625,-0.406942394039554
30.75,-0.407960057841894
30.875,-0.408974812238558
31,-0.409986750985688
31.125,-0.410995978003379
31.25,-0.412002606702382
31.375,-0.413006759234616
31.5,-0.414008565672413
31.625,-0.415008163121061
31.75,-0.41600569477049
31.875,-0.417001308891753
32,-0.417995157784527
32.125,-0.418987396682427
32.25,-0.419978182623212
32.375,-0.420967673291171
32.5,-0.421956025839886
32.625,-0.422943395703228
32.75,-0.423929935403493
32.875,-0.42491579336529
33,-0.425901112744578
33.125,-0.426886030282089
33.25,-0.427870675190635
33.375,-0.428855168086088
33.5,-0.429839619971357
33.625,-0.430824131283165
33.75,-0.431808791010648
33.875,-0.432793675894757
34,-0.433778849717085
34.125,-0.434764362685658
34.25,-0.435750250925221
34.375,-0.436736536077851
34.5,-0.437723225019486
34.625,-0.438710309696236
34.75,-0.439697767083623
34.875,-0.440685559270053
35,-0.441673633665014
35.125,-0.442661923330477
35.25,-0.443650347433143
35.375,-0.444638811813114
35.5,-0.445627209663919
35.625,-0.446615422316827
35.75,-0.447603320121724
35.875,-0.448590763415674
36,-0.449577603569203
36.125,-0.45056368409998
36.25,-0.451548841842877
36.375,-0.452532908165092
36.5,-0.453515710215233
36.625,-0.454497072194768
36.75,-0.455476816641221
36.875,-0.456454765712297
37,-0.457430742461186
37.125,-0.458404572093592
37.25,-0.459376083197931
37.375,-0.4603451089409
37.5,-0.461311488221499
37.625,-0.462275066777088
37.75,-0.463235698236275
37.875,-0.46419324511363
38,-0.465147579742292
38.125,-0.466098585140643
38.25,-0.467046155810401
38.375,-0.467990198462967
38.5,-0.468930632671904
38.625,-0.469867391449514
38.75,-0.47080042174526
38.875,-0.471729684864675
39,-0.472655156806479
39.125,-0.473576828516714
39.25,-0.474494706057976
39.375,-0.475408810692254
39.5,-0.47631917887553
39.625,-0.477225862163038
39.75,-0.47812892702323
39.875,-0.479028454559361
40,-0.479924540137459
40.125,-0.480817292919475
40.25,-0.481706835301155
40.375,-0.48259330225407
40.5,-0.483476840571927
40.625,-0.484357608021701
40.75,-0.48523577240092
40.875,-0.486111510502906
41,-0.486985006992887
41.125,-0.487856453198711
41.25,-0.48872604582107
41.375,-0.489593985569198
41.5,-0.490460475729614
41.625,-0.491325720676497
41.75,-0.492189924334011
41.875,-0.493053288602159
42,-0.493916011759498
42.125,-0.494778286856906
42.25,-0.495640300118272
42.375,-0.496502229364654
42.5,-0.497364242479293
42.625,-0.49822649593111
42.75,-0.499089133374258
42.875,-0.499952284340838
43,-0.50081606304276
43.125,-0.501680567297452
43.25,-0.502545877590092
43.375,-0.50341205628303
43.5,-0.504279146980498
43.625,-0.505147174054366
43.75,-0.506016142333999
43.875,-0.506886036961148
44,-0.50775682340863
44.125,-0.508628447660008
44.25,-0.509500836546182
44.375,-0.510373898234328
44.5,-0.511247522864342
44.625,-0.512121583328259
44.75,-0.512995936189092
44.875,-0.513870422736374
45,-0.514744870176988
45.125,-0.515619092961776
45.25,-0.516492894249089
45.375,-0.517366067508524
45.5,-0.518238398268961
45.625,-0.519109666015979
45.75,-0.519979646244915
45.875,-0.520848112675713
46,-0.521714839636517
46.125,-0.522579604622825
46.25,-0.523442191038426
46.375,-0.524302391124765
46.5,-0.525160009083806
46.625,-0.526014864399594
46.75,-0.526866795362495
46.875,-0.527715662799214
47,-0.528561354010934
47.125,-0.529403786920759
47.25,-0.530242914430497
47.375,-0.531078728986023
47.5,-0.531911267348909
47.625,-0.532740615571115
47.75,-0.533566914168195
47.875,-0.534390363484928
48,-0.535211229246069
48.125,-0.536029848283596
48.25,-0.536846634429623
48.375,-0.537662084563272
48.5,-0.538476784797433
48.625,-0.539291416790129
48.75,-0.540106764162984
48.875,-0.540923719007875
49,-0.54174328846128
49.125,-0.542566601324129
49.25,-0.543394914704391
49.375,-0.544229620658153
49.5,-0.545072252805425
49.625,-0.545924492896621
49.75,-0.546788177306755
49.875,-0.547665303435956
50,-0.548558035996909
